landmass,zone,area,population,language,religion,bars,stripes,colours,circles,crosses,saltires,quarters,sunstars,crescent,triangle,icon,animate,text,red,green,blue,yellow,white,black,orange
b'5',b'1',648.0,16.0,b'10',b'2',0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'1',b'0',b'0',b'1',b'1',b'0',b'1',b'1',b'1',b'0'
b'3',b'1',29.0,3.0,b'6',b'6',0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0',b'1',b'0',b'1',b'0'
b'4',b'1',2388.0,20.0,b'8',b'2',2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,b'1',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'0',b'0'
b'6',b'3',0.0,0.0,b'1',b'1',0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,b'0',b'1',b'1',b'1',b'0',b'1',b'0',b'1',b'1',b'1',b'0',b'1'
b'3',b'1',0.0,0.0,b'6',b'0',3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'0',b'0',b'0'
b'4',b'2',1247.0,7.0,b'10',b'5',0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'1',b'0'
b'1',b'4',0.0,0.0,b'1',b'1',0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1'
b'1',b'4',0.0,0.0,b'1',b'1',0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'1',b'1',b'0'
b'2',b'3',2777.0,28.0,b'2',b'0',0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0'
b'2',b'3',2777.0,28.0,b'2',b'0',0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'1',b'0',b'0'
b'6',b'2',7690.0,15.0,b'1',b'1',0.0,0.0,3.0,0.0,1.0,1.0,1.0,6.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'3',b'1',84.0,8.0,b'4',b'0',0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'1',b'4',19.0,0.0,b'1',b'1',0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'1',b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0'
b'5',b'1',1.0,0.0,b'8',b'2',0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'5',b'1',143.0,90.0,b'6',b'2',0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'0',b'0',b'0'
b'1',b'4',0.0,0.0,b'1',b'1',3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0'
b'3',b'1',31.0,10.0,b'6',b'0',3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'1',b'0'
b'1',b'4',23.0,0.0,b'1',b'1',0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'1'
b'4',b'1',113.0,3.0,b'3',b'5',0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'0',b'0',b'0'
b'1',b'4',0.0,0.0,b'1',b'1',0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,b'0',b'0',b'1',b'1',b'0',b'1',b'1',b'1',b'1',b'1',b'1',b'0'
b'5',b'1',47.0,1.0,b'10',b'3',0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0',b'0',b'1',b'1',b'1'
b'2',b'3',1099.0,6.0,b'2',b'0',0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'0',b'0'
b'4',b'2',600.0,1.0,b'10',b'5',0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'0'
b'2',b'3',8512.0,119.0,b'6',b'0',0.0,0.0,4.0,1.0,0.0,0.0,0.0,22.0,b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'1',b'1',b'0',b'0'
b'1',b'4',0.0,0.0,b'1',b'1',0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,b'0',b'0',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'0',b'1'
b'5',b'1',6.0,0.0,b'10',b'2',0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'1',b'1',b'1',b'1',b'1',b'0',b'0',b'1',b'1',b'1',b'0'
b'3',b'1',111.0,9.0,b'5',b'6',0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'1',b'1',b'0',b'1',b'1',b'1',b'1',b'1',b'0',b'0'
b'4',b'4',274.0,7.0,b'3',b'5',0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'0',b'0'
b'5',b'1',678.0,35.0,b'10',b'3',0.0,0.0,3.0,0.0,0.0,0.0,1.0,14.0,b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'4',b'2',28.0,4.0,b'10',b'5',0.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'0',b'0'
b'4',b'1',474.0,8.0,b'3',b'1',3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'0',b'0'
b'1',b'4',9976.0,24.0,b'1',b'1',2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'4',b'4',4.0,0.0,b'6',b'0',1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'0',b'1',b'0',b'1',b'1'
b'1',b'4',0.0,0.0,b'1',b'1',0.0,0.0,6.0,1.0,1.0,1.0,1.0,4.0,b'0',b'0',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'0',b'1'
b'4',b'1',623.0,2.0,b'10',b'5',1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'1',b'1',b'1',b'0',b'0'
b'4',b'1',1284.0,4.0,b'3',b'5',3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'0',b'0',b'0'
b'2',b'3',757.0,11.0,b'2',b'0',0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'5',b'1',9561.0,1008.0,b'7',b'6',0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'0',b'0'
b'2',b'4',1139.0,28.0,b'2',b'0',0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'0',b'0',b'0'
b'4',b'2',2.0,0.0,b'3',b'2',0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,b'1',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'0'
b'4',b'2',342.0,2.0,b'10',b'5',0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'1',b'1',b'0',b'1',b'1',b'0',b'1',b'0',b'0',b'0'
b'6',b'3',0.0,0.0,b'1',b'1',0.0,0.0,4.0,1.0,1.0,1.0,1.0,15.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'1',b'4',51.0,2.0,b'2',b'0',0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'1',b'4',115.0,10.0,b'2',b'6',0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'3',b'1',9.0,1.0,b'6',b'1',0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'0',b'1',b'1',b'0',b'0'
b'3',b'1',128.0,15.0,b'5',b'6',0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'3',b'1',43.0,5.0,b'6',b'1',0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'4',b'1',22.0,0.0,b'3',b'2',0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,b'0',b'1',b'0',b'0',b'0',b'1',b'1',b'1',b'0',b'1',b'0',b'0'
b'1',b'4',0.0,0.0,b'1',b'1',0.0,0.0,6.0,1.0,0.0,0.0,0.0,10.0,b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'1',b'1',b'1',b'1',b'0'
b'1',b'4',49.0,6.0,b'2',b'0',0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'2',b'3',284.0,8.0,b'2',b'0',0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'0',b'0',b'0'
b'4',b'1',1001.0,47.0,b'8',b'2',0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'1',b'1',b'1',b'0',b'0',b'1',b'1',b'1',b'0'
b'1',b'4',21.0,5.0,b'2',b'0',0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0'
b'4',b'1',28.0,0.0,b'10',b'5',0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'1',b'0',b'0',b'0',b'1',b'1',b'1',b'0',b'1',b'0',b'0'
b'4',b'1',1222.0,31.0,b'10',b'1',0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'0',b'0'
b'3',b'4',1.0,0.0,b'6',b'1',0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'2',b'3',12.0,0.0,b'1',b'1',0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,b'0',b'0',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'0',b'0'
b'6',b'2',18.0,1.0,b'1',b'1',0.0,0.0,7.0,0.0,2.0,1.0,1.0,0.0,b'0',b'0',b'1',b'1',b'0',b'1',b'1',b'1',b'1',b'1',b'0',b'1'
b'3',b'1',337.0,5.0,b'9',b'1',0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0'
b'3',b'1',547.0,54.0,b'3',b'0',3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'2',b'4',91.0,0.0,b'3',b'0',3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'6',b'3',4.0,0.0,b'3',b'0',0.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'1',b'1',b'1',b'1',b'0'
b'4',b'2',268.0,1.0,b'10',b'5',0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'1',b'0',b'0',b'0'
b'4',b'4',10.0,1.0,b'1',b'5',0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'1',b'0',b'1',b'0',b'0'
b'3',b'1',108.0,17.0,b'4',b'6',0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'1',b'0'
b'3',b'1',249.0,61.0,b'4',b'1',0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'1',b'0'
b'4',b'4',239.0,14.0,b'1',b'5',0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'1',b'0'
b'3',b'4',0.0,0.0,b'1',b'1',0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'0',b'1',b'1',b'0',b'0'
b'3',b'1',132.0,10.0,b'6',b'1',0.0,9.0,2.0,0.0,1.0,0.0,1.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0'
b'1',b'4',2176.0,0.0,b'6',b'1',0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'1',b'4',0.0,0.0,b'1',b'1',0.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,b'0',b'1',b'0',b'1',b'0',b'1',b'1',b'0',b'1',b'0',b'0',b'0'
b'6',b'1',0.0,0.0,b'1',b'1',0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'0',b'1'
b'1',b'4',109.0,8.0,b'2',b'0',3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0'
b'4',b'4',246.0,6.0,b'3',b'2',3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'0',b'0'
b'4',b'4',36.0,1.0,b'6',b'5',1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'1',b'0'
b'2',b'4',215.0,1.0,b'1',b'4',0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,b'0',b'1',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'1',b'1',b'0'
b'1',b'4',28.0,6.0,b'3',b'0',2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'0',b'1',b'0'
b'1',b'4',112.0,4.0,b'2',b'0',0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0'
b'5',b'1',1.0,5.0,b'7',b'3',0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,b'0',b'0',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'0',b'1'
b'3',b'1',93.0,11.0,b'9',b'6',0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'0',b'0'
b'3',b'4',103.0,0.0,b'6',b'1',0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'5',b'1',3268.0,684.0,b'6',b'4',0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'1'
b'6',b'2',1904.0,157.0,b'10',b'2',0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'5',b'1',1648.0,39.0,b'6',b'2',0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'0',b'1',b'1',b'1',b'0',b'0',b'1',b'0',b'0'
b'5',b'1',435.0,14.0,b'8',b'2',0.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'1',b'0'
b'3',b'4',70.0,3.0,b'1',b'0',3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'1'
b'5',b'1',21.0,4.0,b'10',b'7',0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0'
b'3',b'1',301.0,57.0,b'6',b'0',3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'0',b'0'
b'4',b'4',323.0,7.0,b'3',b'5',3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'0',b'0'
b'1',b'4',11.0,2.0,b'1',b'1',0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,b'0',b'1',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0'
b'5',b'1',372.0,118.0,b'9',b'7',0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'5',b'1',98.0,2.0,b'8',b'2',0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,b'0',b'1',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'1',b'0'
b'5',b'1',181.0,6.0,b'10',b'3',0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'0',b'0'
b'4',b'1',583.0,17.0,b'10',b'5',0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'1',b'0'
b'6',b'1',0.0,0.0,b'1',b'1',0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'1',b'1',b'1',b'0',b'0'
b'5',b'1',18.0,2.0,b'8',b'2',0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'1',b'0'
