landmass,zone,area,population,language,religion,bars,stripes,colours,circles,crosses,saltires,quarters,sunstars,crescent,triangle,icon,animate,text,red,green,blue,yellow,white,black,orange
b'5',b'1',236.0,3.0,b'10',b'6',0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'5',b'1',10.0,3.0,b'8',b'2',0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'0',b'0',b'1',b'0',b'1'
b'4',b'2',30.0,1.0,b'10',b'5',2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'0',b'0',b'1',b'1',b'1',b'0',b'1',b'0',b'0'
b'4',b'4',111.0,1.0,b'10',b'5',0.0,11.0,3.0,0.0,0.0,0.0,1.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'4',b'1',1760.0,3.0,b'8',b'2',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'0',b'0'
b'3',b'1',0.0,0.0,b'4',b'0',0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'1',b'1',b'0',b'0',b'0'
b'3',b'1',3.0,0.0,b'4',b'0',0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'4',b'2',587.0,9.0,b'10',b'1',1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'0',b'0'
b'4',b'2',118.0,6.0,b'10',b'5',0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'0',b'1',b'0'
b'5',b'1',333.0,13.0,b'10',b'2',0.0,14.0,4.0,0.0,0.0,0.0,1.0,1.0,b'1',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'1',b'0',b'0'
b'5',b'1',0.0,0.0,b'10',b'2',0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'1',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'0',b'0'
b'4',b'4',1240.0,7.0,b'3',b'2',3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'0',b'0'
b'3',b'1',0.0,0.0,b'10',b'0',2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'1',b'0'
b'6',b'1',0.0,0.0,b'10',b'1',0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'1',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0'
b'4',b'4',1031.0,2.0,b'8',b'2',0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,b'1',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0',b'0'
b'4',b'2',2.0,1.0,b'1',b'4',0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'1',b'1',b'0',b'0',b'0'
b'1',b'4',1973.0,77.0,b'2',b'0',3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'0',b'0',b'1',b'0',b'1'
b'6',b'1',1.0,0.0,b'10',b'1',0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0'
b'3',b'1',0.0,0.0,b'3',b'0',0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'5',b'1',1566.0,2.0,b'10',b'6',3.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,b'1',b'1',b'1',b'0',b'0',b'1',b'0',b'1',b'1',b'0',b'0',b'0'
b'1',b'4',0.0,0.0,b'1',b'1',0.0,0.0,7.0,0.0,2.0,1.0,1.0,0.0,b'0',b'0',b'1',b'1',b'0',b'1',b'1',b'1',b'1',b'1',b'1',b'0'
b'4',b'4',447.0,20.0,b'8',b'2',0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'0',b'0',b'0'
b'4',b'2',783.0,12.0,b'10',b'5',0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,b'0',b'1',b'1',b'0',b'0',b'1',b'1',b'0',b'1',b'1',b'1',b'0'
b'6',b'2',0.0,0.0,b'10',b'1',0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'1',b'0',b'0'
b'5',b'1',140.0,16.0,b'10',b'4',0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,b'1',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1'
b'3',b'1',41.0,14.0,b'6',b'1',0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'1',b'4',0.0,0.0,b'6',b'1',0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'6',b'2',268.0,2.0,b'1',b'1',0.0,0.0,3.0,0.0,1.0,1.0,1.0,4.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'1',b'4',128.0,3.0,b'2',b'0',0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0'
b'4',b'1',1267.0,5.0,b'3',b'2',0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'1'
b'4',b'1',925.0,56.0,b'10',b'2',3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'0'
b'6',b'3',0.0,0.0,b'1',b'1',0.0,0.0,4.0,1.0,1.0,1.0,1.0,5.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'1',b'0',b'0'
b'5',b'1',121.0,18.0,b'10',b'6',0.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'5',b'1',195.0,9.0,b'8',b'2',0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'1',b'0'
b'3',b'1',324.0,4.0,b'6',b'1',0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'5',b'1',212.0,1.0,b'8',b'2',0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'0',b'0'
b'5',b'1',804.0,84.0,b'6',b'2',1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,b'1',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'0'
b'2',b'4',76.0,2.0,b'2',b'0',0.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'6',b'2',463.0,3.0,b'1',b'5',0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0',b'1',b'1',b'1',b'0'
b'2',b'3',407.0,3.0,b'2',b'0',0.0,3.0,6.0,1.0,0.0,0.0,0.0,1.0,b'0',b'0',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'0'
b'2',b'3',1285.0,14.0,b'2',b'0',3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'6',b'1',300.0,48.0,b'10',b'0',0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'1',b'0',b'0'
b'3',b'1',313.0,36.0,b'5',b'6',0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'3',b'4',92.0,10.0,b'6',b'0',0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'0',b'0',b'1',b'1',b'1',b'1',b'1',b'0',b'0'
b'1',b'4',9.0,3.0,b'2',b'0',0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'5',b'1',11.0,0.0,b'8',b'2',0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1'
b'3',b'1',237.0,22.0,b'6',b'6',3.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,b'0',b'0',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'0',b'1'
b'4',b'2',26.0,5.0,b'10',b'5',3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'1',b'1',b'1',b'0',b'1',b'0',b'1',b'0'
b'3',b'1',0.0,0.0,b'6',b'0',0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0'
b'4',b'1',0.0,0.0,b'6',b'0',0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,b'0',b'1',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'1',b'0'
b'5',b'1',2150.0,9.0,b'8',b'2',0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0',b'1',b'0',b'0'
b'4',b'4',196.0,6.0,b'3',b'2',3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'0',b'0'
b'4',b'2',0.0,0.0,b'1',b'1',0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'0',b'0'
b'4',b'4',72.0,3.0,b'1',b'5',0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'0'
b'5',b'1',1.0,3.0,b'7',b'3',0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,b'1',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'6',b'2',30.0,0.0,b'1',b'1',0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,b'0',b'1',b'0',b'0',b'0',b'0',b'1',b'1',b'1',b'1',b'0',b'0'
b'4',b'1',637.0,5.0,b'10',b'2',0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0'
b'4',b'2',1221.0,29.0,b'6',b'1',0.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'1',b'0',b'1',b'0',b'1'
b'5',b'1',99.0,39.0,b'10',b'7',0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'1',b'0'
b'5',b'1',288.0,2.0,b'8',b'2',0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'1',b'0'
b'3',b'4',505.0,38.0,b'2',b'0',0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'0',b'0'
b'5',b'1',66.0,15.0,b'10',b'3',2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'0',b'1',b'0',b'0',b'1'
b'4',b'3',0.0,0.0,b'1',b'1',0.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,b'0',b'0',b'1',b'0',b'0',b'1',b'1',b'1',b'1',b'1',b'0',b'1'
b'1',b'4',0.0,0.0,b'1',b'1',0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,b'0',b'1',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'1',b'1',b'0'
b'1',b'4',0.0,0.0,b'1',b'1',0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'1',b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'1',b'1',b'0'
b'1',b'4',0.0,0.0,b'1',b'1',5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'1',b'1',b'0',b'1',b'1',b'1',b'1',b'0',b'0'
b'4',b'1',2506.0,20.0,b'8',b'2',0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'1',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'1',b'0'
b'2',b'4',63.0,0.0,b'6',b'1',0.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'1',b'0',b'0'
b'4',b'2',17.0,1.0,b'10',b'1',0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'1',b'1',b'1',b'1',b'1'
b'3',b'1',450.0,8.0,b'6',b'1',0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'0'
b'3',b'1',41.0,6.0,b'4',b'1',0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'5',b'1',185.0,10.0,b'8',b'2',0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'1',b'0'
b'5',b'1',36.0,18.0,b'7',b'3',0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'4',b'2',945.0,18.0,b'10',b'5',0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'1',b'0',b'0',b'0',b'0',b'1',b'1',b'1',b'0',b'1',b'0'
b'5',b'1',514.0,49.0,b'10',b'3',0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'4',b'1',57.0,2.0,b'3',b'7',0.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'1',b'0',b'0'
b'6',b'2',1.0,0.0,b'10',b'1',0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'2',b'4',5.0,1.0,b'1',b'1',0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'1',b'0'
b'4',b'1',164.0,7.0,b'8',b'2',0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,b'1',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'5',b'1',781.0,45.0,b'9',b'2',0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,b'1',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'1',b'4',0.0,0.0,b'1',b'1',0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,b'0',b'0',b'1',b'1',b'0',b'1',b'1',b'1',b'1',b'1',b'0',b'1'
b'6',b'2',0.0,0.0,b'1',b'1',0.0,0.0,5.0,0.0,1.0,1.0,1.0,9.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'1',b'0',b'0'
b'5',b'1',84.0,1.0,b'8',b'2',1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'1',b'0'
b'4',b'1',236.0,13.0,b'10',b'5',0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0',b'1',b'1',b'1',b'0'
b'3',b'4',245.0,56.0,b'1',b'1',0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'2',b'3',178.0,3.0,b'2',b'0',0.0,9.0,3.0,0.0,0.0,0.0,1.0,1.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'1',b'0',b'0'
b'1',b'4',0.0,0.0,b'1',b'1',0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'0',b'0'
b'1',b'4',9363.0,231.0,b'1',b'1',0.0,13.0,3.0,0.0,0.0,0.0,1.0,50.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'5',b'1',22402.0,274.0,b'5',b'6',0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'0',b'0'
b'6',b'2',15.0,0.0,b'6',b'1',0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'1',b'0',b'1',b'0',b'1',b'1',b'0',b'1',b'0',b'1',b'0'
b'3',b'1',0.0,0.0,b'6',b'0',2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'0',b'1',b'1',b'1',b'0'
b'2',b'4',912.0,15.0,b'2',b'0',0.0,3.0,7.0,0.0,0.0,0.0,0.0,7.0,b'0',b'0',b'1',b'1',b'0',b'1',b'1',b'1',b'1',b'1',b'1',b'1'
b'5',b'1',333.0,60.0,b'10',b'6',0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'0',b'0'
b'6',b'3',3.0,0.0,b'1',b'1',0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'3',b'1',256.0,22.0,b'6',b'6',0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'1',b'0',b'0'
b'4',b'2',905.0,28.0,b'10',b'5',0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'1',b'0',b'1',b'1',b'0',b'1',b'0',b'0',b'1'
b'4',b'2',753.0,6.0,b'10',b'5',3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'0',b'0',b'0',b'1',b'1'
b'4',b'2',391.0,8.0,b'10',b'5',0.0,7.0,5.0,0.0,0.0,0.0,0.0,1.0,b'0',b'1',b'1',b'1',b'0',b'1',b'1',b'0',b'1',b'1',b'1',b'0'
