datasetname,avg_supp,wkl_supp,avg_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,avg_items,wkl_sum,wkl_sum_norm,wacc_supp_sum,wacc_usg_sum,std_rules,top1_std,length_orig,length_final,length_ratio,runtime,nsamples_train, 
edm,51.4,37.8768,29.6,57.7773,25.5039,18.0623,0.1428,5,2.0,288.8867,1.8759,127.5195,90.3117,0.3021,0.2421,334.7067,185.1728,0.5532,60.075,154, 
enb,97.1707,254.5246,18.5366,163.0695,1094.7237,328.7288,0.0679,41,2.0732,6685.8511,8.7055,44883.6711,13477.8788,0.7229,0.21,8200.0438,3660.4038,0.4464,156.5085,768, 
jura,53.7333,137.0258,21.8,84.3008,683.0826,337.264,0.0749,15,2.6667,1264.5121,3.5223,10246.2387,5058.9599,4.1855,1.1932,4389.9447,3886.029,0.8852,106.71,359, 
oes10,66.9565,1929.9537,17.3913,712.1943,529415.838,177412.196,0.0719,23,3.3478,16380.4681,40.6463,12176564.2741,4080480.5079,653.8287,1464.2468,77070.5587,65121.4418,0.845,11608.2761,403, 
oes97,50.0,1653.0609,19.375,717.2172,707797.7116,267245.3003,0.0717,16,3.625,11475.4753,34.3577,11324763.3858,4275924.8043,681.6089,12120.6351,64868.9014,56613.8377,0.8727,7998.0868,334, 
osales,71.6222,1002.4481,14.0667,375.4873,2093503.9471,657231.8727,0.0455,45,3.1333,16896.9275,26.4428,94207677.6213,29575434.2723,4380.2749,262644.722,108020.3987,96398.5149,0.8924,3319.299,639, 
sf1,85.3333,157.6427,75.6667,133.0859,22.066,19.2528,0.0469,3,2.6667,399.2578,1.2361,66.1981,57.7585,0.3274,0.6633,313.6202,90.4695,0.2885,2.7379,323, 
sf2,16.5,486.6265,16.5,486.6265,22.8058,22.8058,0.0,2,4.0,973.2531,0.913,45.6116,45.6116,0.9953,1.8122,666.8664,-61.3467,-0.092,3.0122,1066, 
slump,14.0,55.1803,9.75,66.2811,280.5577,330.66,0.1283,4,2.75,265.1242,2.574,1122.2308,1322.6399,2.8372,1.0498,1684.5704,1602.6326,0.9514,18.201,103, 
wq,52.4839,281.1628,16.6452,190.5399,272.4715,129.4212,0.0202,62,4.1129,11813.4737,11.1448,16893.234,8024.1132,0.9458,0.2083,34764.1085,28487.0947,0.8194,2308.5694,1060, 
,