datasetname,avg_supp,wkl_supp,avg_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,avg_items,wkl_sum,std_rules,top1_std,length_orig,length_final,length_ratio,runtime,nsamples_train, 
baseball,76.2857,149.6224,39.8571,89.3607,75488.0788,40014.7054,0.1194,7,2.2857,625.5251,472.0864,10.4167,4152.2079,3732.4675,0.8989,69.8277,337, 
autoMPG8,66.625,112.6108,41.0,76.8467,486.5093,275.7594,0.1008,8,2.125,614.7738,2.1889,1.4396,1963.784,1564.0407,0.7964,23.1998,392, 
dee,86.4444,103.0647,37.3333,54.6591,77.8157,30.2418,0.1694,9,1.7778,491.932,0.3758,0.3046,728.4986,456.3912,0.6265,24.4545,365, 
ele-1,137.75,145.1671,58.125,75.7004,103115.3806,43959.4245,0.1876,8,1.875,605.6032,542.6858,1429.812,6048.2207,5642.2202,0.9329,1.0012,495, 
forestFires,45.0455,146.2207,21.6364,91.7824,569.0203,276.6779,0.0283,22,2.9545,2019.2135,40.9572,481.328,4155.6044,2970.2727,0.7148,117.9622,517, 
concrete,119.5556,99.4626,54.7778,74.9937,1505.8985,668.6458,0.0459,18,3.1667,1349.8872,6.4147,3.5747,6291.9271,5542.557,0.8809,77.7073,1030, 
treasury,109.2258,266.3122,33.6452,130.4355,272.5338,85.1107,0.0398,31,2.2581,4043.5005,0.3127,0.0229,3988.5519,1036.3631,0.2598,229.0176,1049, 
wizmir,227.0,421.1422,65.8182,180.4795,3009.3359,829.1289,0.0866,22,2.2727,3970.55,2.1749,2.1212,8608.5266,5358.619,0.6225,102.4734,1461, 
abalone,477.1923,259.5252,154.5,114.0523,888.0128,293.1145,0.042,26,2.6923,2965.3592,2.1034,4.2574,15604.6465,13398.5588,0.8586,299.9906,4177, 
puma32h,929.125,619.2813,170.1042,245.2937,12.8169,3.7285,0.0399,48,3.1875,11774.0974,0.0118,0.0087,-24571.4795,-34029.3182,0.7221,6027.0845,8192, 
ailerons,839.7449,895.9166,140.0918,202.5393,0.2475,0.0392,0.0298,98,4.0,19848.8501,0.0002,0.0004,-126675.9783,-142376.5827,0.8897,17399.413,13750, 
elevators,407.6582,458.7805,102.019,137.6529,1.5616,0.3911,0.0094,158,4.2152,21749.1542,0.004,0.0094,-85831.7573,-100419.9172,0.8547,17848.0452,16599, 
bikesharing,630.375,877.7889,123.3824,217.2618,83007.6217,15530.5992,0.0211,136,3.9632,29547.6065,62.8363,4.3194,165969.2083,142120.8397,0.8563,8824.4868,17379, 
california,526.1609,366.8108,115.9253,135.446,35837929.953,8902411.0592,0.0082,174,4.3103,23567.6077,48798.351,387.5404,389338.2958,373259.6866,0.9587,13653.5675,20640, 
house,390.7807,616.1104,82.3457,170.876,11097424.7167,2419613.2252,0.0066,269,4.7472,45965.6544,38487.2177,149647.2236,404108.4538,371937.6921,0.9204,49995.0079,22784, 
,